PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret
10107,16SEP2014,252,1.1246%,0.0009,0.8949,-0.3455,-0.2410,1.0508%,1.1988%,23.1702%,0.3503%
10107,17SEP2014,252,-0.5133%,0.0009,0.8950,-0.3442,-0.2345,1.0519%,1.1994%,23.0888%,-0.6873%
10107,18SEP2014,252,0.3439%,0.0008,0.8947,-0.3448,-0.2358,1.0520%,1.1977%,22.8618%,-0.0909%
10107,19SEP2014,252,1.7995%,0.0009,0.9018,-0.3746,-0.2359,1.0549%,1.2012%,22.8752%,1.6342%
10107,22SEP2014,252,-0.9680%,0.0009,0.8865,-0.3345,-0.2035,1.0488%,1.1913%,22.4880%,-0.2818%
10107,23SEP2014,252,-1.0625%,0.0009,0.8927,-0.3337,-0.1950,1.0497%,1.1936%,22.6628%,-0.6234%
10107,24SEP2014,252,1.1168%,0.0009,0.8901,-0.3256,-0.1947,1.0489%,1.1934%,22.7473%,0.2458%
10107,25SEP2014,252,-2.2090%,0.0009,0.9055,-0.3417,-0.2086,1.0498%,1.2027%,23.8119%,-0.7176%
10107,26SEP2014,252,0.8036%,0.0009,0.9043,-0.3386,-0.1996,1.0497%,1.2027%,23.8251%,-0.0263%
10107,29SEP2014,252,0.0646%,0.0008,0.9122,-0.3434,-0.2001,1.0436%,1.1996%,24.3094%,0.2333%
10107,30SEP2014,252,-0.1723%,0.0007,0.9171,-0.3493,-0.2026,1.0431%,1.1997%,24.4105%,-0.1288%
10107,01OCT2014,252,-0.9922%,0.0008,0.9135,-0.3480,-0.2012,1.0431%,1.2009%,24.5542%,0.2875%
10107,02OCT2014,252,-0.3050%,0.0007,0.9148,-0.3451,-0.1932,1.0417%,1.2000%,24.6402%,-0.1656%
10107,03OCT2014,252,0.7212%,0.0007,0.9131,-0.3357,-0.1822,1.0418%,1.2004%,24.6838%,-0.4864%
10107,06OCT2014,252,0.0000%,0.0007,0.9176,-0.3360,-0.1779,1.0409%,1.2004%,24.8105%,0.0411%
10107,07OCT2014,252,-1.2150%,0.0007,0.9067,-0.3357,-0.1837,1.0390%,1.1978%,24.7560%,0.1941%
10107,08OCT2014,252,2.7454%,0.0008,0.9270,-0.3460,-0.1894,1.0412%,1.2072%,25.6106%,1.2050%
10107,09OCT2014,252,-1.9880%,0.0007,0.9323,-0.3447,-0.1843,1.0413%,1.2147%,26.5149%,-0.2012%
10107,10OCT2014,252,-3.9695%,0.0006,0.9656,-0.3776,-0.2368,1.0557%,1.2359%,27.0370%,-2.7205%
10107,13OCT2014,252,-0.8630%,0.0007,0.9398,-0.3334,-0.1991,1.0575%,1.2360%,26.7885%,1.2943%
10107,14OCT2014,252,0.1833%,0.0006,0.9384,-0.3326,-0.1981,1.0571%,1.2349%,26.7240%,0.1863%
10107,15OCT2014,252,-1.1662%,0.0006,0.9480,-0.3408,-0.1848,1.0565%,1.2375%,27.1202%,-0.3217%
10107,16OCT2014,252,-1.1106%,0.0006,0.9635,-0.3742,-0.2045,1.0562%,1.2397%,27.4100%,-0.9170%
10107,17OCT2014,252,2.0824%,0.0006,0.9673,-0.3853,-0.2118,1.0564%,1.2452%,28.0274%,0.3724%
10107,20OCT2014,252,1.0314%,0.0006,0.9707,-0.3825,-0.2068,1.0559%,1.2466%,28.2495%,0.1353%
10107,21OCT2014,252,1.8149%,0.0006,0.9649,-0.3787,-0.2074,1.0561%,1.2512%,28.7526%,-0.2591%
10107,22OCT2014,252,-1.1141%,0.0006,0.9765,-0.3848,-0.2066,1.0504%,1.2509%,29.4876%,-0.4745%
10107,23OCT2014,252,1.4421%,0.0007,0.9664,-0.3825,-0.2325,1.0433%,1.2437%,29.6416%,0.2936%
10107,24OCT2014,252,2.4656%,0.0008,0.9764,-0.3985,-0.2501,1.0473%,1.2523%,30.0646%,1.6216%
10107,27OCT2014,252,-0.4769%,0.0006,0.9590,-0.3702,-0.2475,0.9891%,1.1976%,31.7950%,-0.3406%
10107,28OCT2014,252,1.2633%,0.0006,0.9625,-0.3575,-0.2345,0.9888%,1.1992%,32.0218%,0.5394%
10107,29OCT2014,252,0.2796%,0.0007,0.9656,-0.3581,-0.2282,0.9880%,1.1992%,32.1243%,0.5346%
10107,30OCT2014,252,-1.2227%,0.0006,0.9616,-0.3510,-0.2021,0.9947%,1.2022%,31.5347%,-1.8240%
10107,31OCT2014,252,1.9544%,0.0006,0.9688,-0.3480,-0.1934,0.9960%,1.2073%,31.9307%,0.9143%
