PERMNO,DATE,n,RET,vwretd,swbeta,swalpha,ivol,tvol,R2
93436,06DEC2016,252,-0.51%,0.48%,1.50,-0.00,2.12%,2.48%,27.07%
93436,07DEC2016,252,3.93%,1.24%,1.51,-0.00,2.12%,2.49%,27.49%
93436,08DEC2016,252,-0.45%,0.37%,1.50,-0.00,2.12%,2.49%,27.26%
93436,09DEC2016,252,-0.06%,0.39%,1.51,-0.00,2.11%,2.49%,27.93%
93436,12DEC2016,252,0.13%,-0.25%,1.50,-0.00,2.11%,2.47%,27.35%
93436,13DEC2016,252,2.97%,0.58%,1.49,-0.00,2.12%,2.48%,26.90%
93436,14DEC2016,252,0.27%,-0.96%,1.50,-0.00,2.12%,2.48%,26.63%
93436,15DEC2016,252,-0.56%,0.36%,1.48,-0.00,2.10%,2.45%,26.38%
93436,16DEC2016,252,2.49%,-0.12%,1.50,-0.00,2.10%,2.45%,26.72%
93436,19DEC2016,252,0.12%,0.21%,1.52,-0.00,2.10%,2.45%,26.83%
93436,20DEC2016,252,2.99%,0.43%,1.52,-0.00,2.10%,2.46%,26.84%
93436,21DEC2016,252,-0.52%,-0.25%,1.56,-0.00,2.09%,2.46%,27.78%
93436,22DEC2016,252,0.36%,-0.27%,1.58,-0.00,2.08%,2.46%,28.13%
93436,23DEC2016,252,2.35%,0.18%,1.58,-0.00,2.09%,2.46%,27.91%
93436,27DEC2016,252,2.90%,0.25%,1.57,-0.00,2.10%,2.47%,27.46%
93436,28DEC2016,252,0.10%,-0.80%,1.57,-0.00,2.09%,2.46%,27.73%
93436,29DEC2016,252,-2.30%,0.06%,1.60,-0.00,2.08%,2.46%,28.39%
93436,30DEC2016,252,-0.46%,-0.40%,1.64,-0.00,2.06%,2.46%,29.62%
93436,03JAN2017,252,1.54%,0.82%,1.58,-0.00,2.06%,2.42%,27.85%
93436,04JAN2017,252,4.61%,0.86%,1.60,-0.00,2.06%,2.44%,28.82%
93436,05JAN2017,252,-0.11%,-0.09%,1.61,-0.00,2.06%,2.43%,28.43%
93436,06JAN2017,252,1.00%,0.23%,1.70,-0.00,2.05%,2.43%,29.26%
93436,09JAN2017,252,0.99%,-0.39%,1.69,-0.00,2.06%,2.43%,28.39%
93436,10JAN2017,252,-0.61%,0.13%,1.68,-0.00,2.06%,2.43%,28.21%
93436,11JAN2017,252,-0.06%,0.32%,1.68,-0.00,2.05%,2.43%,28.72%
93436,12JAN2017,252,-0.06%,-0.26%,1.68,-0.00,2.03%,2.41%,28.71%
93436,13JAN2017,252,3.55%,0.28%,1.68,-0.00,2.02%,2.41%,29.79%
93436,17JAN2017,252,-0.91%,-0.37%,1.70,-0.00,2.02%,2.41%,30.21%
93436,18JAN2017,252,1.18%,0.14%,1.71,-0.00,2.02%,2.41%,30.30%
93436,19JAN2017,252,2.27%,-0.39%,1.70,-0.00,2.02%,2.41%,29.81%
93436,20JAN2017,252,0.40%,0.36%,1.70,-0.00,2.02%,2.41%,29.60%
93436,23JAN2017,252,1.71%,-0.19%,1.73,-0.00,2.01%,2.41%,30.22%
93436,24JAN2017,252,2.29%,0.84%,1.74,-0.00,1.99%,2.41%,31.31%
93436,25JAN2017,252,-0.05%,0.81%,1.68,-0.00,2.01%,2.40%,30.31%
93436,26JAN2017,252,-0.77%,-0.12%,1.69,-0.00,2.00%,2.40%,30.71%
93436,27JAN2017,252,0.17%,-0.16%,1.68,-0.00,2.00%,2.40%,30.26%
93436,30JAN2017,252,-0.92%,-0.71%,1.74,-0.00,1.99%,2.40%,31.17%
93436,31JAN2017,252,0.52%,0.08%,1.74,-0.00,1.98%,2.39%,31.07%
93436,01FEB2017,252,-1.07%,0.03%,1.69,-0.00,1.96%,2.34%,29.77%
93436,02FEB2017,252,0.93%,0.06%,1.63,-0.00,1.96%,2.32%,28.65%
93436,03FEB2017,252,-0.09%,0.78%,1.63,-0.00,1.95%,2.32%,28.94%
93436,06FEB2017,252,2.56%,-0.27%,1.51,-0.00,1.97%,2.27%,24.83%
93436,07FEB2017,252,-0.11%,-0.05%,1.27,-0.00,1.98%,2.19%,17.89%
93436,08FEB2017,252,1.79%,0.12%,1.28,-0.00,1.98%,2.19%,18.30%
93436,09FEB2017,252,2.72%,0.65%,1.24,-0.00,1.99%,2.19%,17.54%
93436,10FEB2017,252,0.01%,0.41%,1.21,-0.00,1.98%,2.17%,17.05%
93436,13FEB2017,252,4.22%,0.47%,1.28,-0.00,1.97%,2.18%,18.26%
93436,14FEB2017,252,0.14%,0.39%,1.26,-0.00,1.99%,2.18%,16.41%
93436,15FEB2017,252,-0.43%,0.48%,1.09,-0.00,1.98%,2.12%,12.44%
93436,16FEB2017,252,-3.86%,-0.13%,1.09,-0.00,2.00%,2.13%,12.24%
93436,17FEB2017,252,1.22%,0.19%,1.09,-0.00,2.00%,2.13%,12.32%
93436,21FEB2017,252,1.90%,0.58%,1.10,-0.00,1.96%,2.10%,12.96%
93436,22FEB2017,252,-1.40%,-0.17%,1.10,-0.00,1.96%,2.10%,12.84%
93436,23FEB2017,252,-6.41%,-0.09%,1.13,-0.00,2.00%,2.14%,13.04%
93436,24FEB2017,252,0.39%,0.04%,1.08,-0.00,1.99%,2.12%,12.08%
93436,27FEB2017,252,-4.19%,0.20%,1.10,-0.00,2.00%,2.14%,12.25%
93436,28FEB2017,252,1.53%,-0.47%,1.10,-0.00,2.01%,2.14%,12.16%
93436,01MAR2017,252,0.01%,1.34%,1.20,-0.00,1.98%,2.13%,14.12%
93436,02MAR2017,252,0.18%,-0.69%,1.20,-0.00,1.98%,2.13%,13.64%
93436,03MAR2017,252,0.44%,0.09%,1.15,-0.00,1.98%,2.12%,12.58%
93436,06MAR2017,252,-0.14%,-0.38%,1.12,-0.00,1.98%,2.11%,12.01%
93436,07MAR2017,252,-1.04%,-0.34%,1.15,-0.00,1.97%,2.11%,12.65%
93436,08MAR2017,252,-0.69%,-0.32%,1.15,-0.00,1.97%,2.11%,12.66%
93436,09MAR2017,252,-0.80%,-0.02%,1.18,-0.00,1.95%,2.10%,13.55%
93436,10MAR2017,252,-0.49%,0.35%,1.21,-0.00,1.94%,2.10%,14.20%
93436,13MAR2017,252,1.02%,0.17%,1.22,-0.00,1.94%,2.10%,14.16%
93436,14MAR2017,252,4.81%,-0.42%,1.21,-0.00,1.96%,2.11%,13.86%
93436,15MAR2017,252,-0.88%,1.01%,1.21,-0.00,1.96%,2.11%,13.78%
93436,16MAR2017,252,2.47%,-0.06%,1.22,-0.00,1.96%,2.11%,13.88%
93436,17MAR2017,252,-0.21%,-0.08%,1.20,-0.00,1.96%,2.11%,13.28%
93436,20MAR2017,252,0.16%,-0.23%,1.17,-0.00,1.96%,2.10%,12.51%
93436,21MAR2017,252,-4.29%,-1.36%,1.21,-0.00,1.96%,2.11%,13.50%
93436,22MAR2017,252,1.73%,0.18%,1.17,-0.00,1.97%,2.11%,12.55%
